epoch,eval_accuracy,eval_loss,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_weighted_f1,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.005780346820809248,,,,,,,,,,4.33617639541626,0.0,1.4363831281661987,1,,,,,
0.14450867052023122,,,,,,,,,,2.329059600830078,5.517241379310345e-06,1.3785241444905598,25,,,,,
0.28901734104046245,,,,,,,,,,2.621483564376831,1.1264367816091955e-05,1.3213148498535157,50,,,,,
0.43352601156069365,,,,,,,,,,6.790736198425293,1.7011494252873563e-05,1.2266352844238282,75,,,,,
0.5780346820809249,,,,,,,,,,25.143938064575195,1.9691516709511568e-05,1.0872259521484375,100,,,,,
0.7225433526011561,,,,,,,,,,19.29181480407715,1.9048843187660672e-05,0.9679296875,125,,,,,
0.8670520231213873,,,,,,,,,,35.34400939941406,1.840616966580977e-05,0.7293647003173828,150,,,,,
1.0,0.7995910020449898,0.6158140897750854,0.7594520129506487,0.7923084655754526,0.7384703456555146,2.927,167.064,5.466,0.7956208659304755,,,,173,,,,,
1.0115606936416186,,,,,,,,,,27.46656608581543,1.776349614395887e-05,0.6521501159667968,175,,,,,
1.1560693641618498,,,,,,,,,,27.151077270507812,1.712082262210797e-05,0.5257757186889649,200,,,,,
1.300578034682081,,,,,,,,,,46.668296813964844,1.647814910025707e-05,0.5090417098999024,225,,,,,
1.4450867052023122,,,,,,,,,,27.748849868774414,1.583547557840617e-05,0.606565170288086,250,,,,,
1.5895953757225434,,,,,,,,,,16.88311195373535,1.5192802056555272e-05,0.6100740051269531,275,,,,,
1.7341040462427746,,,,,,,,,,17.028202056884766,1.455012853470437e-05,0.5380531692504883,300,,,,,
1.8786127167630058,,,,,,,,,,29.069669723510742,1.3907455012853473e-05,0.5318104934692383,325,,,,,
2.0,0.8098159509202454,0.5833439826965332,0.7749067597062351,0.7783210662283702,0.7719657079793104,2.9102,168.028,5.498,0.8095350148523313,,,,346,,,,,
2.023121387283237,,,,,,,,,,19.98297691345215,1.3264781491002572e-05,0.47502841949462893,350,,,,,
2.167630057803468,,,,,,,,,,23.781396865844727,1.262210796915167e-05,0.37463958740234377,375,,,,,
2.3121387283236996,,,,,,,,,,12.737712860107422,1.1979434447300773e-05,0.37250198364257814,400,,,,,
2.4566473988439306,,,,,,,,,,13.324264526367188,1.1336760925449872e-05,0.29650737762451174,425,,,,,
2.601156069364162,,,,,,,,,,24.365419387817383,1.069408740359897e-05,0.34872123718261716,450,,,,,
2.745664739884393,,,,,,,,,,22.09375,1.0051413881748073e-05,0.3355217361450195,475,,,,,
2.8901734104046244,,,,,,,,,,24.029483795166016,9.408740359897172e-06,0.37941673278808596,500,,,,,
3.0,0.7995910020449898,0.6999697685241699,0.762044690871002,0.774251508295626,0.7578435185554536,2.9313,166.821,5.458,0.7994731515830718,,,,519,,,,,
3.0346820809248554,,,,,,,,,,20.83664321899414,8.766066838046273e-06,0.35802490234375,525,,,,,
3.179190751445087,,,,,,,,,,68.69768524169922,8.123393316195373e-06,0.23554378509521484,550,,,,,
3.3236994219653178,,,,,,,,,,49.22615432739258,7.480719794344473e-06,0.24574501037597657,575,,,,,
3.468208092485549,,,,,,,,,,30.509384155273438,6.8380462724935734e-06,0.26189815521240234,600,,,,,
3.61271676300578,,,,,,,,,,13.43748950958252,6.195372750642674e-06,0.2157158660888672,625,,,,,
3.7572254335260116,,,,,,,,,,58.13473892211914,5.552699228791775e-06,0.20886577606201173,650,,,,,
3.901734104046243,,,,,,,,,,74.64938354492188,4.910025706940874e-06,0.2286071014404297,675,,,,,
4.0,0.7995910020449898,0.7941206693649292,0.7696817233743338,0.7705411255411255,0.7711586734897398,2.9159,167.701,5.487,0.8009965167689619,,,,692,,,,,
4.046242774566474,,,,,,,,,,34.99898910522461,4.267352185089975e-06,0.31018054962158204,700,,,,,
4.190751445086705,,,,,,,,,,11.209372520446777,3.6246786632390746e-06,0.17497915267944336,725,,,,,
4.335260115606936,,,,,,,,,,27.3183536529541,2.982005141388175e-06,0.19673263549804687,750,,,,,
4.479768786127168,,,,,,,,,,13.679723739624023,2.3393316195372753e-06,0.1353645706176758,775,,,,,
4.624277456647399,,,,,,,,,,20.28870964050293,1.6966580976863755e-06,0.15026108741760255,800,,,,,
4.76878612716763,,,,,,,,,,1.3449443578720093,1.0539845758354757e-06,0.14668761253356932,825,,,,,
4.913294797687861,,,,,,,,,,7.526322364807129,4.1131105398457585e-07,0.09578280448913574,850,,,,,
5.0,0.8057259713701431,0.8536115884780884,0.7703204132929538,0.7791010691112291,0.7638381875547299,2.8709,170.332,5.573,0.8051300936935578,,,,865,,,,,
5.0,,,,,,,,,,,,,865,313675121715072.0,0.4734899417513368,385.3004,35.92,2.245
