step,epoch,loss,grad_norm,learning_rate,eval_loss,eval_accuracy,eval_macro_precision,eval_macro_recall,eval_macro_f1,eval_weighted_f1,train_loss,train_runtime
1,0.004901960784313725,1.3282136917114258,3.3641395568847656,0.0,,,,,,,,
25,0.12254901960784313,1.3503381411234539,4.204669952392578,4.705882352941177e-06,,,,,,,,
50,0.24509803921568626,1.331036834716797,3.0166029930114746,9.607843137254903e-06,,,,,,,,
75,0.36764705882352944,1.2067930603027344,10.297277450561523,1.4509803921568629e-05,,,,,,,,
100,0.49019607843137253,1.0236570739746094,26.607702255249023,1.9411764705882355e-05,,,,,,,,
125,0.6127450980392157,0.8747248840332031,10.720742225646973,1.9520697167755993e-05,,,,,,,,
150,0.7352941176470589,0.6685079193115234,14.921728134155273,1.8976034858387802e-05,,,,,,,,
175,0.8578431372549019,0.7492366790771484,40.39375305175781,1.843137254901961e-05,,,,,,,,
200,0.9803921568627451,0.6263963317871094,16.212207794189453,1.7886710239651418e-05,,,,,,,,
204,1.0,,,,0.6804133653640747,0.7700534759358288,0.7382676488316846,0.6981932648392382,0.7110199937519525,0.7659931847834984,,
225,1.1029411764705883,0.5605958175659179,7.685499668121338,1.7342047930283224e-05,,,,,,,,
250,1.2254901960784315,0.6653733825683594,13.029993057250977,1.6797385620915034e-05,,,,,,,,
275,1.3480392156862746,0.5592012023925781,27.376340866088867,1.6252723311546843e-05,,,,,,,,
300,1.4705882352941178,0.4937912368774414,28.932147979736328,1.570806100217865e-05,,,,,,,,
325,1.593137254901961,0.51315673828125,26.02699089050293,1.5163398692810458e-05,,,,,,,,
350,1.715686274509804,0.49287879943847657,11.201333045959473,1.4618736383442267e-05,,,,,,,,
375,1.8382352941176472,0.41717891693115233,23.413591384887695,1.4074074074074075e-05,,,,,,,,
400,1.9607843137254903,0.5046882629394531,18.010751724243164,1.3529411764705885e-05,,,,,,,,
408,2.0,,,,0.6193286180496216,0.7780748663101604,0.7086069418386491,0.7057816973076733,0.706943506322939,0.7776367485170155,,
425,2.0833333333333335,0.39799171447753906,10.107933044433594,1.298474945533769e-05,,,,,,,,
450,2.2058823529411766,0.31265762329101565,29.30339813232422,1.2440087145969499e-05,,,,,,,,
475,2.3284313725490198,0.43358291625976564,63.68982696533203,1.1895424836601308e-05,,,,,,,,
500,2.450980392156863,0.3644780731201172,15.87158489227295,1.1350762527233116e-05,,,,,,,,
525,2.5735294117647056,0.3599879837036133,25.211029052734375,1.0806100217864926e-05,,,,,,,,
550,2.696078431372549,0.3931730270385742,16.909923553466797,1.0261437908496732e-05,,,,,,,,
575,2.818627450980392,0.3397224044799805,8.056059837341309,9.716775599128541e-06,,,,,,,,
600,2.9411764705882355,0.27314210891723634,19.114185333251953,9.17211328976035e-06,,,,,,,,
612,3.0,,,,0.6752634644508362,0.7887700534759359,0.7455977146676436,0.7400425433552316,0.7384839384968758,0.7905750994575624,,
625,3.063725490196078,0.23368507385253906,0.6947624087333679,8.627450980392157e-06,,,,,,,,
650,3.186274509803922,0.270582275390625,26.284502029418945,8.082788671023965e-06,,,,,,,,
675,3.3088235294117645,0.23669679641723632,27.79036521911621,7.538126361655774e-06,,,,,,,,
700,3.431372549019608,0.25137746810913086,6.578122138977051,6.993464052287582e-06,,,,,,,,
725,3.553921568627451,0.22727226257324218,26.087717056274414,6.4488017429193905e-06,,,,,,,,
750,3.6764705882352944,0.29233217239379883,28.16560935974121,5.904139433551199e-06,,,,,,,,
775,3.799019607843137,0.18478916168212892,36.48464584350586,5.359477124183007e-06,,,,,,,,
800,3.9215686274509802,0.15880069732666016,24.231149673461914,4.814814814814815e-06,,,,,,,,
816,4.0,,,,0.7154045104980469,0.7941176470588235,0.728367244948954,0.7224921035974914,0.7251917260352788,0.7931069680537653,,
825,4.044117647058823,0.16244932174682616,1.4380152225494385,4.270152505446624e-06,,,,,,,,
850,4.166666666666667,0.12332954406738281,27.225040435791016,3.7254901960784316e-06,,,,,,,,
875,4.28921568627451,0.18432367324829102,39.50934600830078,3.18082788671024e-06,,,,,,,,
900,4.411764705882353,0.14010159492492677,1.5636411905288696,2.6361655773420482e-06,,,,,,,,
925,4.534313725490196,0.15485875129699708,12.522856712341309,2.0915032679738565e-06,,,,,,,,
950,4.6568627450980395,0.1485741329193115,28.154382705688477,1.5468409586056646e-06,,,,,,,,
975,4.779411764705882,0.16947509765625,3.1352643966674805,1.002178649237473e-06,,,,,,,,
1000,4.901960784313726,0.1559546947479248,12.944254875183105,4.5751633986928105e-07,,,,,,,,
1020,5.0,,,,0.7943583726882935,0.7967914438502673,0.7346809099415399,0.7394817539838825,0.736518119171619,0.7980135076049627,,
1020,5.0,,,,,,,,,,0.44472381063536104,439.0021
