epoch,eval_accuracy,eval_loss,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_weighted_f1,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.005780346820809248,,,,,,,,,,3.676769971847534,0.0,1.300735592842102,1,,,,,
0.14450867052023122,,,,,,,,,,2.717848777770996,5.517241379310345e-06,1.3419041633605957,25,,,,,
0.28901734104046245,,,,,,,,,,4.207484245300293,1.1264367816091955e-05,1.2921055603027343,50,,,,,
0.43352601156069365,,,,,,,,,,4.599114418029785,1.7011494252873563e-05,1.2431820678710936,75,,,,,
0.5780346820809249,,,,,,,,,,13.704339981079102,1.9691516709511568e-05,1.1301278686523437,100,,,,,
0.7225433526011561,,,,,,,,,,34.71590042114258,1.9048843187660672e-05,0.9307344818115234,125,,,,,
0.8670520231213873,,,,,,,,,,27.801227569580078,1.840616966580977e-05,0.6843069458007812,150,,,,,
1.0,0.7914110429447853,0.6395570635795593,0.7517173762209863,0.8078731812909028,0.7236105254260147,2.5839,189.247,6.192,0.7880717731307972,,,,173,,,,,
1.0115606936416186,,,,,,,,,,15.335403442382812,1.776349614395887e-05,0.6820668792724609,175,,,,,
1.1560693641618498,,,,,,,,,,21.65653419494629,1.712082262210797e-05,0.5899248886108398,200,,,,,
1.300578034682081,,,,,,,,,,82.81733703613281,1.647814910025707e-05,0.5854995727539063,225,,,,,
1.4450867052023122,,,,,,,,,,12.604333877563477,1.583547557840617e-05,0.5460160446166992,250,,,,,
1.5895953757225434,,,,,,,,,,30.80825424194336,1.5192802056555272e-05,0.5291398620605469,275,,,,,
1.7341040462427746,,,,,,,,,,22.67644500732422,1.455012853470437e-05,0.5380633926391601,300,,,,,
1.8786127167630058,,,,,,,,,,24.125017166137695,1.3907455012853473e-05,0.5341117477416992,325,,,,,
2.0,0.8179959100204499,0.5517497062683105,0.7824690402476779,0.7910406691582049,0.7772881133785039,2.4692,198.039,6.48,0.8180929851613056,,,,346,,,,,
2.023121387283237,,,,,,,,,,16.274871826171875,1.3264781491002572e-05,0.5666967391967773,350,,,,,
2.167630057803468,,,,,,,,,,17.482778549194336,1.262210796915167e-05,0.3616186141967773,375,,,,,
2.3121387283236996,,,,,,,,,,17.791593551635742,1.1979434447300773e-05,0.38366539001464844,400,,,,,
2.4566473988439306,,,,,,,,,,36.66018295288086,1.1336760925449872e-05,0.4252748489379883,425,,,,,
2.601156069364162,,,,,,,,,,13.541072845458984,1.069408740359897e-05,0.3538717269897461,450,,,,,
2.745664739884393,,,,,,,,,,12.421710014343262,1.0051413881748073e-05,0.2845414352416992,475,,,,,
2.8901734104046244,,,,,,,,,,34.33394241333008,9.408740359897172e-06,0.3633982086181641,500,,,,,
3.0,0.8118609406952966,0.6281981468200684,0.7865007426010182,0.7939553088962916,0.7830326631829484,2.4932,196.137,6.418,0.8124475276346007,,,,519,,,,,
3.0346820809248554,,,,,,,,,,23.762956619262695,8.766066838046273e-06,0.34210899353027346,525,,,,,
3.179190751445087,,,,,,,,,,35.90330505371094,8.123393316195373e-06,0.2934379577636719,550,,,,,
3.3236994219653178,,,,,,,,,,19.31867027282715,7.480719794344473e-06,0.20188018798828125,575,,,,,
3.468208092485549,,,,,,,,,,25.87234115600586,6.8380462724935734e-06,0.21223268508911133,600,,,,,
3.61271676300578,,,,,,,,,,9.005992889404297,6.195372750642674e-06,0.26365034103393553,625,,,,,
3.7572254335260116,,,,,,,,,,23.389984130859375,5.552699228791775e-06,0.24106441497802733,650,,,,,
3.901734104046243,,,,,,,,,,35.42781448364258,4.910025706940874e-06,0.16202436447143553,675,,,,,
4.0,0.8118609406952966,0.7637230157852173,0.7827629886173256,0.7961825336442605,0.7779400996107885,2.5206,194.004,6.348,0.8118105671056708,,,,692,,,,,
4.046242774566474,,,,,,,,,,22.821361541748047,4.267352185089975e-06,0.2594028663635254,700,,,,,
4.190751445086705,,,,,,,,,,7.599443435668945,3.6246786632390746e-06,0.17788021087646486,725,,,,,
4.335260115606936,,,,,,,,,,1.633115291595459,2.982005141388175e-06,0.11693644523620605,750,,,,,
4.479768786127168,,,,,,,,,,2.076887369155884,2.3393316195372753e-06,0.13385142326354982,775,,,,,
4.624277456647399,,,,,,,,,,19.743961334228516,1.6966580976863755e-06,0.14890528678894044,800,,,,,
4.76878612716763,,,,,,,,,,9.908738136291504,1.0539845758354757e-06,0.12841541290283204,825,,,,,
4.913294797687861,,,,,,,,,,7.928328514099121,4.1131105398457585e-07,0.19513286590576173,850,,,,,
5.0,0.820040899795501,0.776309072971344,0.7935042707512875,0.8036758184163845,0.78713427131593,2.5204,194.017,6.348,0.8205518503856132,,,,865,,,,,
5.0,,,,,,,,,,,,,865,313255780940544.0,0.4706628840782739,336.2881,41.155,2.572
