policy,uncertainty_method,target_coverage,actual_coverage,accepted_rows,hamming_risk,subset_error,micro_f1,macro_f1,five_label_macro_f1
m1_max_entropy,mean_entropy,1.0,1.0,3360,0.04766865079365079,0.22053571428571428,0.7721128764524543,0.6594259047763483,0.7147153410507668
m1_max_entropy,mean_entropy,0.95,0.9494047619047619,3190,0.044200626959247646,0.20752351097178678,0.7787656903765691,0.5845253462448543,0.6680970821604919
m1_max_entropy,mean_entropy,0.9,0.9002976190476191,3025,0.03939393939393939,0.1900826446280992,0.7944811727507906,0.5688780220472548,0.6445583883614677
m1_max_entropy,mean_entropy,0.8,0.8005952380952381,2690,0.0315365551425031,0.15613382899628248,0.8240580712063603,0.4754909173669175,0.570589100840301
m1_max_entropy,mean_entropy,0.7,0.6994047619047619,2350,0.02397163120567376,0.12170212765957444,0.8573839662447258,0.4717971227861746,0.5661565473434095
m1_max_entropy,mean_entropy,0.6,0.5997023809523809,2015,0.020926385442514475,0.10769230769230764,0.8585802124091672,0.47667271225665386,0.5720072547079846
m1_max_entropy,max_entropy,1.0,1.0,3360,0.04766865079365079,0.22053571428571428,0.7721128764524543,0.6594259047763483,0.7147153410507668
m1_max_entropy,max_entropy,0.95,0.9494047619047619,3190,0.0422675026123302,0.19717868338557998,0.7883860842270467,0.6248078545315434,0.7221832185413003
m1_max_entropy,max_entropy,0.9,0.9002976190476191,3025,0.038071625344352614,0.1775206611570248,0.802175780131692,0.6142198553984195,0.7196725221302773
m1_max_entropy,max_entropy,0.8,0.8005952380952381,2690,0.030545229244114003,0.14349442379182153,0.8340626051834398,0.6043425980520558,0.7252111176624669
m1_max_entropy,max_entropy,0.7,0.6994047619047619,2350,0.02326241134751773,0.11234042553191492,0.8661224489795917,0.5964405792933262,0.7157286951519914
m1_max_entropy,max_entropy,0.6,0.5997023809523809,2015,0.01935483870967742,0.09627791563275434,0.8782518210197711,0.43898829768124115,0.5267859572174893
m1_max_entropy,margin,1.0,1.0,3360,0.04766865079365079,0.22053571428571428,0.7721128764524543,0.6594259047763483,0.7147153410507668
m1_max_entropy,margin,0.95,0.9494047619047619,3190,0.04237199582027168,0.19717868338557998,0.7919979481918441,0.6462327163032086,0.7310348151194059
m1_max_entropy,margin,0.9,0.9002976190476191,3025,0.03933884297520661,0.183801652892562,0.8037383177570094,0.6309869843280712,0.7390025630118673
m1_max_entropy,margin,0.8,0.8005952380952381,2690,0.0328996282527881,0.15390334572490705,0.8274293142671433,0.600538253497623,0.7206459041971476
m1_max_entropy,margin,0.7,0.6994047619047619,2350,0.026099290780141844,0.12595744680851062,0.855686274509804,0.5418993083673727,0.6502791700408472
m1_max_entropy,margin,0.6,0.5997023809523809,2015,0.019851116625310174,0.09975186104218359,0.8816568047337278,0.4349056053795481,0.5218867264554576
m1_threshold_proximity,mean_entropy,1.0,1.0,3360,0.04915674603174603,0.22857142857142854,0.7713956170703576,0.6321074791664781,0.718528974999774
m1_threshold_proximity,mean_entropy,0.95,0.9494047619047619,3190,0.04467084639498432,0.20877742946708466,0.7820545500892175,0.6149353448457742,0.7071531830456983
m1_threshold_proximity,mean_entropy,0.9,0.9002976190476191,3025,0.039559228650137744,0.18809917355371897,0.7982012366498032,0.6049590990265511,0.6895872824682249
m1_threshold_proximity,mean_entropy,0.8,0.8005952380952381,2690,0.0315365551425031,0.1531598513011152,0.826811840762164,0.5147719476333209,0.617726337159985
m1_threshold_proximity,mean_entropy,0.7,0.6994047619047619,2350,0.0225531914893617,0.11361702127659579,0.8669456066945607,0.5006720666294329,0.6008064799553194
m1_threshold_proximity,mean_entropy,0.6,0.5997023809523809,2015,0.02009925558312655,0.10322580645161294,0.864169927333706,0.4790131128787392,0.574815735454487
m1_threshold_proximity,max_entropy,1.0,1.0,3360,0.04915674603174603,0.22857142857142854,0.7713956170703576,0.6321074791664781,0.718528974999774
m1_threshold_proximity,max_entropy,0.95,0.9494047619047619,3190,0.043521421107628,0.20188087774294672,0.7888466413181243,0.6314464205839784,0.7234499904150598
m1_threshold_proximity,max_entropy,0.9,0.9002976190476191,3025,0.03823691460055097,0.1768595041322314,0.8074361820199778,0.6474792043352142,0.7382653677829023
m1_threshold_proximity,max_entropy,0.8,0.8005952380952381,2690,0.029987608426270136,0.13977695167286242,0.8373655913978495,0.6113424381773046,0.7336109258127655
m1_threshold_proximity,max_entropy,0.7,0.6994047619047619,2350,0.02170212765957447,0.10553191489361702,0.8748977923139819,0.6181304372891534,0.7417565247469841
m1_threshold_proximity,max_entropy,0.6,0.5997023809523809,2015,0.018610421836228287,0.09230769230769231,0.8826291079812207,0.4690569939985454,0.5628683927982545
m1_threshold_proximity,margin,1.0,1.0,3360,0.04915674603174603,0.22857142857142854,0.7713956170703576,0.6321074791664781,0.718528974999774
m1_threshold_proximity,margin,0.95,0.9494047619047619,3190,0.045141065830721,0.2112852664576802,0.7851815017404278,0.6321869906876231,0.731957722158481
m1_threshold_proximity,margin,0.9,0.9002976190476191,3025,0.04258953168044077,0.19900826446280995,0.7939216209010931,0.611267459860321,0.7335209518323853
m1_threshold_proximity,margin,0.8,0.8005952380952381,2690,0.035563816604708795,0.1684014869888476,0.8181242078580482,0.6059299479085613,0.7271159374902736
m1_threshold_proximity,margin,0.7,0.6994047619047619,2350,0.027801418439716313,0.13574468085106384,0.850381679389313,0.5868854556779287,0.7042625468135145
m1_threshold_proximity,margin,0.6,0.5997023809523809,2015,0.022746071133167907,0.11662531017369726,0.8678519942335415,0.4971497322202724,0.5965796786643269
logistic_router,mean_entropy,1.0,1.0,3360,0.04861111111111111,0.22559523809523807,0.7705992509363296,0.6597769631014945,0.7117323557217935
