epoch,optimizer_steps,train_loss,learning_rate_end,batch_order_sha256,epoch_seconds
1,168,0.3540209683900078,1.7777777777777777e-05,c001284e36abf85a6bef03b30c00b10d73610b534cda800d968d0abf1279026b,295.28305837488733
2,336,0.16327622056096083,1.3333333333333333e-05,97afb58b75100905d7238c3a07a0af1bf9079754e4c69aa3ca44be9b6c2dd4d9,289.0882892080117
3,504,0.12020545288743008,8.888888888888888e-06,228625fd86fad1e4af07383bf3aacf09b4cf53e6fb3c434ec4fda8a35be5c515,292.5427363337949
4,672,0.09313669113353604,4.444444444444444e-06,3f55bd32cd4069f8872c81d085e63eb945b9609c64a5d3b04ca94197b54eaff7,285.7716926669236
