iteration,train_loss,learning_rate,iterations_per_second,tokens_per_second,trained_tokens,peak_memory_gb
1210,0.028,1e-05,0.56,7.499,16198,8.726
1220,0.017,1e-05,0.56,7.835,16338,8.726
1230,0.032,1e-05,0.559,7.831,16478,8.726
1240,0.076,1e-05,0.56,7.503,16612,8.726
1250,0.034,1e-05,0.559,7.377,16744,8.726
1260,0.02,1e-05,0.561,7.517,16878,8.726
1270,0.042,1e-05,0.558,7.697,17016,8.726
1280,0.017,1e-05,0.562,7.643,17152,8.726
1290,0.039,1e-05,0.558,7.639,17289,8.726
1300,0.105,1e-05,0.56,7.615,17425,8.726
1310,0.096,1e-05,0.559,7.261,17555,8.726
1320,0.043,1e-05,0.558,7.477,17689,8.726
1330,0.1,1e-05,0.559,7.436,17822,8.726
1340,0.051,1e-05,0.56,7.727,17960,8.726
1350,0.032,1e-05,0.557,7.691,18098,8.726
1360,0.047,1e-05,0.558,7.587,18234,8.726
1370,0.062,1e-05,0.543,7.438,18371,8.775
1380,0.052,1e-05,0.561,7.521,18505,8.775
1390,0.065,1e-05,0.559,7.268,18635,8.775
1400,0.043,1e-05,0.561,7.576,18770,8.775
1410,0.033,1e-05,0.559,7.551,18905,8.775
1420,0.074,1e-05,0.56,7.286,19035,8.775
1430,0.041,1e-05,0.56,7.502,19169,8.775
1440,0.085,1e-05,0.559,7.432,19302,8.775
1450,0.012,1e-05,0.556,7.678,19440,8.775
1460,0.08,1e-05,0.56,7.39,19572,8.775
1470,0.044,1e-05,0.56,7.722,19710,8.775
1480,0.023,1e-05,0.559,7.72,19848,8.775
1490,0.056,1e-05,0.56,7.501,19982,8.775
1500,0.008,1e-05,0.56,7.727,20120,8.775
1510,0.064,1e-05,0.559,7.383,20252,8.775
1520,0.093,1e-05,0.561,7.407,20384,8.775
1530,0.063,1e-05,0.559,7.71,20522,8.775
1540,0.023,1e-05,0.56,7.733,20660,8.775
1550,0.043,1e-05,0.561,7.524,20794,8.775
1560,0.043,1e-05,0.557,7.577,20930,8.775
1570,0.033,1e-05,0.558,7.697,21068,8.775
1580,0.07,1e-05,0.559,7.6,21204,8.775
1590,0.019,1e-05,0.559,7.6,21340,8.775
1600,0.073,1e-05,0.558,7.368,21472,8.775
1610,0.069,1e-05,0.56,7.508,21606,8.775
1620,0.018,1e-05,0.557,7.574,21742,8.775
1630,0.029,1e-05,0.558,7.588,21878,8.775
1640,0.011,1e-05,0.55,7.587,22016,8.775
1650,0.049,1e-05,0.558,7.59,22152,8.775
1660,0.068,1e-05,0.558,7.367,22284,8.775
1670,0.039,1e-05,0.56,7.508,22418,8.775
1680,0.026,1e-05,0.558,7.366,22550,8.775
1690,0.043,1e-05,0.56,7.394,22682,8.775
1700,0.033,1e-05,0.555,7.547,22818,8.775
1710,0.036,1e-05,0.56,7.729,22956,8.775
1720,0.046,1e-05,0.56,7.448,23089,8.775
1730,0.064,1e-05,0.558,7.477,23223,8.775
1740,0.024,1e-05,0.561,7.855,23363,8.775
1750,0.036,1e-05,0.56,7.611,23499,8.775
1760,0.125,1e-05,0.56,7.565,23634,8.775
1770,0.07,1e-05,0.558,7.371,23766,8.775
1780,0.086,1e-05,0.561,7.511,23900,8.775
1790,0.028,1e-05,0.559,7.718,24038,8.775
1800,0.048,1e-05,0.558,7.313,24169,8.775
1810,0.013,1e-05,0.555,7.768,24309,8.775
1820,0.063,1e-05,0.559,7.439,24442,8.775
1830,0.036,1e-05,0.56,7.387,24574,8.775
1840,0.051,1e-05,0.561,7.297,24704,8.775
1850,0.082,1e-05,0.561,7.517,24838,8.775
1860,0.066,1e-05,0.558,7.589,24974,8.775
1870,0.058,1e-05,0.558,7.364,25106,8.775
1880,0.106,1e-05,0.557,7.461,25240,8.775
1890,0.083,1e-05,0.561,7.288,25370,8.775
1900,0.039,1e-05,0.557,7.517,25505,8.775
1910,0.041,1e-05,0.56,7.509,25639,8.775
1920,0.034,1e-05,0.558,7.368,25771,8.775
1930,0.036,1e-05,0.56,7.507,25905,8.775
1940,0.07,1e-05,0.56,7.562,26040,8.775
1950,0.034,1e-05,0.561,7.749,26178,8.775
1960,0.046,1e-05,0.559,7.494,26312,8.775
1970,0.113,1e-05,0.56,7.221,26441,8.775
1980,0.044,1e-05,0.558,7.257,26571,8.775
1990,0.059,1e-05,0.562,7.419,26703,8.775
2000,0.075,1e-05,0.558,7.483,26837,8.775
2010,0.045,1e-05,0.558,7.593,26973,8.775
2020,0.033,1e-05,0.561,7.623,27109,8.775
2030,0.034,1e-05,0.56,7.731,27247,8.775
2040,0.056,1e-05,0.56,7.342,27378,8.775
2050,0.125,1e-05,0.561,7.29,27508,8.775
2060,0.138,1e-05,0.562,7.357,27639,8.775
2070,0.028,1e-05,0.56,7.727,27777,8.775
2080,0.019,1e-05,0.561,7.624,27913,8.775
2090,0.096,1e-05,0.561,7.288,28043,8.775
2100,0.047,1e-05,0.56,7.617,28179,8.775
2110,0.012,1e-05,0.561,7.737,28317,8.775
2120,0.033,1e-05,0.562,7.753,28455,8.775
2130,0.102,1e-05,0.559,7.494,28589,8.775
2140,0.081,1e-05,0.558,7.306,28720,8.775
2150,0.106,1e-05,0.559,7.27,28850,8.775
2160,0.056,1e-05,0.561,7.407,28982,8.775
2170,0.088,1e-05,0.559,7.378,29114,8.775
