family,pipeline,bin,count,mean_confidence,empirical_positive_rate,absolute_gap,minimum_probability,maximum_probability
m1,identity,1,1344,0.007524893831621772,0.005952380952380952,0.0015725128792408198,0.0028793527272866024,0.008772828820648167
m1,identity,2,1344,0.009474766627014835,0.002976190476190476,0.006498576150824359,0.008773284948739562,0.010128709547991409
m1,identity,3,1344,0.010763132835699421,0.006696428571428571,0.00406670426427085,0.010130794200427302,0.011418010589219199
m1,identity,4,1344,0.01208556223277341,0.004464285714285714,0.007621276518487695,0.011418037501080554,0.012780600326121975
m1,identity,5,1344,0.01350848888821907,0.005208333333333333,0.008300155554885738,0.012781869843852229,0.014260776914649616
m1,identity,6,1344,0.01494574526290368,0.006696428571428571,0.00824931669147511,0.014260870758271042,0.015647585311924964
m1,identity,7,1344,0.0164001054914196,0.006696428571428571,0.00970367691999103,0.015647761583254042,0.017194000494461473
m1,identity,8,1344,0.018069635829558645,0.008928571428571428,0.009141064400987216,0.017195176968311302,0.01898157923531619
m1,identity,9,1344,0.020058566353548746,0.00818452380952381,0.011874042544024936,0.018983839153590015,0.021275885411119064
m1,identity,10,1344,0.022970720836858718,0.019345238095238096,0.003625482741620622,0.02127595988089198,0.025156035006251458
m1,identity,11,1344,0.02858132776114019,0.029017857142857144,0.00043652938171695466,0.025159847393833538,0.033063363227226424
m1,identity,12,1344,0.04105258297961526,0.031994047619047616,0.009058535360567645,0.033065177378940096,0.05129407504012449
m1,identity,13,1344,0.0802734267094796,0.10416666666666667,0.023893239957187076,0.05130830115603209,0.1395607357631853
m1,identity,14,1344,0.505645366206209,0.41443452380952384,0.0912108423966852,0.13965604414232932,0.8795539851261327
m1,identity,15,1344,0.9448553572958318,0.8936011904761905,0.051254166819641345,0.8796317195170662,0.9783175661405059
m1,temperature,1,1344,0.007379020656921715,0.005952380952380952,0.001426639704540763,0.002962182306883774,0.00865321728435871
m1,temperature,2,1344,0.009332079510715999,0.002976190476190476,0.006355889034525523,0.008653417719731204,0.009951027639333568
m1,temperature,3,1344,0.010582710354329368,0.006696428571428571,0.0038862817829007973,0.009951074617462523,0.011232829180978225
m1,temperature,4,1344,0.011873370870592275,0.004464285714285714,0.007409085156306561,0.011232929806653582,0.01254002468822945
m1,temperature,5,1344,0.01325370588123096,0.005952380952380952,0.007301324928850009,0.01254085725932665,0.01397221620672157
m1,temperature,6,1344,0.01469044313275217,0.005952380952380952,0.008738062180371218,0.013973615554243143,0.015430846254278935
m1,temperature,7,1344,0.016140571108675304,0.00744047619047619,0.008700094918199114,0.015431520003601535,0.016941488751539398
m1,temperature,8,1344,0.017786046251914007,0.008928571428571428,0.008857474823342579,0.016942012896685545,0.018692430719730504
m1,temperature,9,1344,0.019730125548833233,0.009672619047619048,0.010057506501214186,0.018695177361151512,0.020906843929383006
m1,temperature,10,1344,0.02260699819568107,0.017857142857142856,0.0047498553385382156,0.020908122624114806,0.024831051844552456
m1,temperature,11,1344,0.02819140460008887,0.026785714285714284,0.0014056903143745865,0.02483281272520423,0.032615777894685664
m1,temperature,12,1344,0.040510790557760655,0.03422619047619048,0.0062846000815701755,0.03263093177218282,0.050617781885956906
m1,temperature,13,1344,0.07962342739414267,0.10267857142857142,0.02305514403442875,0.05068184391996057,0.13828324945978557
m1,temperature,14,1344,0.5056693042650768,0.41592261904761907,0.08974668521745777,0.13842991130912566,0.8792339818064027
m1,temperature,15,1344,0.945465637402037,0.8928571428571429,0.052608494544894135,0.8793214833523711,0.9779209957764116
m3,identity,1,1344,5.506990293938839e-05,0.000744047619047619,0.0006889777161082306,1.755113375224577e-07,0.0001342469630537577
m3,identity,2,1344,0.0002415563919656618,0.000744047619047619,0.0005024912270819572,0.00013431597854923294,0.00036523329090524127
m3,identity,3,1344,0.0005152437237133239,0.000744047619047619,0.00022880389533429506,0.0003653506485636859,0.0006742255281529404
m3,identity,4,1344,0.0008792639825171145,0.001488095238095238,0.0006088312555781236,0.0006742856100055134,0.0011231990132144663
m3,identity,5,1344,0.0014136387344634983,0.003720238095238095,0.0023065993607745967,0.0011232369975396118,0.0017450524483781892
m3,identity,6,1344,0.002178101798356964,0.002232142857142857,5.404105878589315e-05,0.0017456689021521582,0.002670873838607163
m3,identity,7,1344,0.0033128192943357995,0.004464285714285714,0.0011514664199499145,0.002671718635102647,0.004070137715896127
m3,identity,8,1344,0.0050107533560688425,0.014136904761904762,0.00912615140583592,0.004070381267747526,0.006106790526642794
m3,identity,9,1344,0.00750227659486055,0.005208333333333333,0.002293943261527217,0.0061146387134761206,0.009085213315091588
m3,identity,10,1344,0.011675267189035455,0.019345238095238096,0.007669970906202641,0.009088248833143136,0.014576933496074206
m3,identity,11,1344,0.01943264730341231,0.017857142857142856,0.0015755044462694538,0.014577351321586593,0.02589078200401083
m3,identity,12,1344,0.03748188942122379,0.046875,0.00939311057877621,0.02591890173049625,0.054366434671679696
m3,identity,13,1344,0.0981331252736148,0.10491071428571429,0.006777589012099489,0.054381451784433224,0.1754265123697055
m3,identity,14,1344,0.4045772657499868,0.4337797619047619,0.029202496154775104,0.17577856499074496,0.724996190808343
m3,identity,15,1344,0.9075002354149886,0.8921130952380952,0.015387140176893355,0.7254986961941152,0.9999422761175618
m3,temperature,1,1344,0.00010724190994279184,0.000744047619047619,0.0006368057091048272,5.043151833748631e-07,0.00025138468530563115
m3,temperature,2,1344,0.00043251373435420726,0.000744047619047619,0.00031153388469341175,0.00025155659377984664,0.0006338701646300436
m3,temperature,3,1344,0.0008768304336210679,0.001488095238095238,0.0006112648044741701,0.0006338768100125516,0.0011272706211057587
m3,temperature,4,1344,0.0014418773317999834,0.001488095238095238,4.6217906295254645e-05,0.0011274574842415432,0.0018168472220696852
m3,temperature,5,1344,0.002244291724150572,0.003720238095238095,0.0014759463710875232,0.0018177130589650346,0.002736784560081338
m3,temperature,6,1344,0.003354588238789992,0.001488095238095238,0.001866493000694754,0.0027368470293875342,0.004040724918690842
m3,temperature,7,1344,0.004927962761947045,0.005208333333333333,0.0002803705713862884,0.004040724918690842,0.005977782212506945
m3,temperature,8,1344,0.007219481119519642,0.013392857142857142,0.0061733760233375,0.005978989357543988,0.00868639663074147
m3,temperature,9,1344,0.010511892082658058,0.005952380952380952,0.0045595111302771055,0.008687722974808732,0.012672667695146142
m3,temperature,10,1344,0.015833185359127127,0.018601190476190476,0.002768005117063349,0.012673037606144601,0.01935288049729215
m3,temperature,11,1344,0.0254205116311033,0.018601190476190476,0.006819321154912825,0.019357043743373194,0.03316577666521086
m3,temperature,12,1344,0.04668914263037955,0.047619047619047616,0.0009299049886680663,0.03316691580167224,0.06586400226175737
m3,temperature,13,1344,0.11254303145386689,0.10267857142857142,0.009864460025295466,0.06587430059615412,0.1925817428975774
m3,temperature,14,1344,0.4099933965681667,0.43452380952380953,0.024530412955642844,0.19258229898812124,0.7116898865562538
m3,temperature,15,1344,0.8966227856873168,0.8921130952380952,0.0045096904492215595,0.7116920390528767,0.9998813011390953
