family,method,target_coverage,actual_coverage,accepted_rows,hamming_risk,subset_error,micro_f1,macro_f1,five_label_macro_f1
m1,mean_entropy,1.0,1.0,3360,0.050694444444444445,0.23630952380952386,0.7607677902621721,0.5810240587294887,0.6972288704753865
m1,mean_entropy,0.95,0.9494047619047619,3190,0.045768025078369905,0.21849529780564259,0.7760736196319018,0.5498150996951987,0.6597781196342385
m1,mean_entropy,0.9,0.9002976190476191,3025,0.04192837465564738,0.20132231404958678,0.7864159416222284,0.4740884547303083,0.56890614567637
m1,mean_entropy,0.8,0.8005952380952381,2690,0.03407682775712516,0.1669144981412639,0.8127978216473792,0.32955783541629563,0.39546940249955476
m1,mean_entropy,0.7,0.6994047619047619,2350,0.023900709219858155,0.11829787234042555,0.8614878750513769,0.3013824650313179,0.36165895803758147
m1,mean_entropy,0.6,0.5997023809523809,2015,0.01753515301902399,0.08833746898263029,0.8878306878306879,0.30801053835524966,0.3696126460262996
m1,max_entropy,1.0,1.0,3360,0.050694444444444445,0.23630952380952386,0.7607677902621721,0.5810240587294887,0.6972288704753865
m1,max_entropy,0.95,0.9494047619047619,3190,0.04467084639498432,0.2119122257053292,0.7812739831158866,0.6046300668721244,0.7255560802465493
m1,max_entropy,0.9,0.9002976190476191,3025,0.03988980716253444,0.18743801652892567,0.7998894416804865,0.6161463793609528,0.7393756552331434
m1,max_entropy,0.8,0.8005952380952381,2690,0.030916976456009913,0.14498141263940523,0.8362323596980636,0.6159654676432745,0.7391585611719294
m1,max_entropy,0.7,0.6994047619047619,2350,0.024113475177304965,0.11361702127659579,0.8647573587907718,0.4996656300318376,0.5995987560382051
m1,max_entropy,0.6,0.5997023809523809,2015,0.01770057899090157,0.08585607940446649,0.8922457200402819,0.3429101883579038,0.4114922260294846
m1,margin,1.0,1.0,3360,0.050694444444444445,0.23630952380952386,0.7607677902621721,0.5810240587294887,0.6972288704753865
m1,margin,0.95,0.9494047619047619,3190,0.04592476489028213,0.2134796238244514,0.7787566070979108,0.5920605759664722,0.7104726911597666
m1,margin,0.9,0.9002976190476191,3025,0.04170798898071625,0.1963636363636364,0.7953500946201677,0.6141593002571234,0.7369911603085482
m1,margin,0.8,0.8005952380952381,2690,0.03382899628252788,0.15910780669144986,0.8261146496815287,0.6086657696003576,0.730398923520429
m1,margin,0.7,0.6994047619047619,2350,0.02773049645390071,0.13148936170212766,0.850248946763692,0.5183013551479759,0.6219616261775711
m1,margin,0.6,0.5997023809523809,2015,0.0206782464846981,0.10223325062034738,0.8789932236205228,0.38409586734649265,0.46091504081579115
m3,mean_entropy,1.0,1.0,3360,0.059126984126984125,0.2967261904761904,0.7483108108108109,0.6023935029585407,0.7006499813280265
m3,mean_entropy,0.95,0.9494047619047619,3190,0.05240334378265413,0.26802507836990597,0.7665813358156853,0.5967779467901881,0.7161335361482257
m3,mean_entropy,0.9,0.9002976190476191,3025,0.04606060606060606,0.23669421487603304,0.7840909090909091,0.6019409302978914,0.7223291163574697
m3,mean_entropy,0.8,0.8005952380952381,2690,0.03717472118959108,0.18959107806691455,0.8104864181933038,0.6091976145142688,0.7310371374171225
m3,mean_entropy,0.7,0.6994047619047619,2350,0.02794326241134752,0.14595744680851064,0.8470496894409938,0.6271619315758047,0.7525943178909656
m3,mean_entropy,0.6,0.5997023809523809,2015,0.019933829611248965,0.10620347394540941,0.8823816495851634,0.6325104907711059,0.7590125889253271
m3,max_entropy,1.0,1.0,3360,0.059126984126984125,0.2967261904761904,0.7483108108108109,0.6023935029585407,0.7006499813280265
m3,max_entropy,0.95,0.9494047619047619,3190,0.055381400208986416,0.2755485893416928,0.7559852670349907,0.5948618959247828,0.7013342751097393
m3,max_entropy,0.9,0.9002976190476191,3025,0.05096418732782369,0.2528925619834711,0.7685764323242432,0.6024581595021942,0.7096164580692996
m3,max_entropy,0.8,0.8005952380952381,2690,0.04114002478314746,0.20334572490706315,0.7966932026944274,0.5900694825099557,0.7080833790119468
m3,max_entropy,0.7,0.6994047619047619,2350,0.029432624113475178,0.1472340425531915,0.8400770712909442,0.6120929640540534,0.7345115568648641
m3,max_entropy,0.6,0.5997023809523809,2015,0.018444995864350704,0.09528535980148889,0.89009364218827,0.6446777848628361,0.7736133418354034
m3,margin,1.0,1.0,3360,0.059126984126984125,0.2967261904761904,0.7483108108108109,0.6023935029585407,0.7006499813280265
m3,margin,0.95,0.9494047619047619,3190,0.05501567398119122,0.2786833855799373,0.7622488146308422,0.6164330418511067,0.7147196502213281
m3,margin,0.9,0.9002976190476191,3025,0.05096418732782369,0.259504132231405,0.7762998790810157,0.6343758132153217,0.7345843091917192
m3,margin,0.8,0.8005952380952381,2690,0.04417596034696406,0.22713754646840145,0.8024383485730119,0.6382508836767998,0.7659010604121598
m3,margin,0.7,0.6994047619047619,2350,0.03794326241134752,0.1987234042553192,0.8256761159986966,0.6562935312496662,0.7875522374995994
m3,margin,0.6,0.5997023809523809,2015,0.03449131513647643,0.1826302729528536,0.8353730754046584,0.6723403994483238,0.8068084793379885
