epoch,eval_accuracy,eval_loss,eval_macro_f1,eval_macro_precision,eval_macro_recall,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_weighted_f1,grad_norm,learning_rate,loss,step,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
0.011494252873563218,,,,,,,,,,2.7462291717529297,0.0,1.4126100540161133,1,,,,,
0.28735632183908044,,,,,,,,,,1.8069754838943481,7.260849684231262e-06,1.3650539716084797,25,,,,,
0.5747126436781609,,,,,,,,,,3.5542774200439453,7.400481408928018e-06,1.2921505737304688,50,,,,,
0.8620689655172413,,,,,,,,,,7.912270545959473,6.5277831295732995e-06,1.1977191162109375,75,,,,,
1.0,0.6584867075664622,0.9412935376167297,0.48960720408752184,0.5251075899843506,0.4956016632190392,2.4319,201.074,6.579,0.6115186268121552,,,,87,,,,,
1.1494252873563218,,,,,,,,,,12.237499237060547,5.6550848502185796e-06,0.9679386138916015,100,,,,,
1.4367816091954024,,,,,,,,,,19.44090461730957,4.7823865708638605e-06,0.8436515808105469,125,,,,,
1.7241379310344827,,,,,,,,,,22.112594604492188,3.909688291509141e-06,0.7867649841308594,150,,,,,
2.0,0.7914110429447853,0.6359496116638184,0.7303831535772635,0.7947489111077735,0.7104451475831467,2.6519,184.393,6.033,0.7842404839546098,,,,174,,,,,
2.0114942528735633,,,,,,,,,,9.991286277770996,3.0369900121544227e-06,0.68390625,175,,,,,
2.2988505747126435,,,,,,,,,,16.95394515991211,2.1642917327997035e-06,0.6594413757324219,200,,,,,
2.586206896551724,,,,,,,,,,19.715036392211914,1.2915934534449842e-06,0.6060621643066406,225,,,,,
2.873563218390805,,,,,,,,,,16.593544006347656,4.1889517409026517e-07,0.6222373962402343,250,,,,,
3.0,0.7995910020449898,0.6053425669670105,0.745465585458534,0.7984488467224236,0.7246102423976492,2.3655,206.724,6.764,0.7931930024476971,,,,261,,,,,
3.0,,,,,,,,,,,,,261,204284736140160.0,0.8903693915326933,178.705,46.468,1.461
