epoch,optimizer_steps,train_loss,learning_rate_end,batch_order_sha256,epoch_seconds
1,168,0.3555186176229091,1.7777777777777777e-05,34ded0b971207d6ea268d65e46394c91bbd1a18f3880493eed428b19c960b6ce,296.4606329591479
2,336,0.16068507070165305,1.3333333333333333e-05,caa4833a8ee6eaa5ae41dfa71c6ca3228c33c4a56ef30cd3e098499967afb10b,299.7283252920024
3,504,0.11914137544642601,8.888888888888888e-06,eb8d52f8d68d1e8c50762d2172f013d18c1265241d854bf0f4d5d07463da46ae,287.7367882907856
4,672,0.09710438846654836,4.444444444444444e-06,c2afa30c7c3a58ecc1f939d08fb79fefedbe30d160ae85679e393fb902139e09,273.7949765000958
