epoch,optimizer_steps,train_loss,learning_rate_end,batch_order_sha256,epoch_seconds
1,168,0.35189117389243274,1.7777777777777777e-05,a1687c1ca92b630dd601e0c80347c2bcae4a35426e926a84afd142d653943ef1,307.599747417029
2,336,0.1554689587626074,1.3333333333333333e-05,e61c41e3702d80d3d4540fd25cc80e8fdb9f96e800af3b2372bf40350404ef0d,307.307310000062
3,504,0.11309227070194625,8.888888888888888e-06,8a7b83d284056a4fce62d5be340193f018568d868e75b5ed414dbdb18b47ceda,308.18253462505527
4,672,0.08834024046414665,4.444444444444444e-06,a7c5ffdf748087201ef39a45fa867245e5b34a59319943486cb1319435af50f8,309.39608308300376
