epoch,optimizer_steps,train_loss,learning_rate_end,batch_order_sha256,epoch_seconds
1,168,0.3533948072276655,1.7777777777777777e-05,3edcbf0ff651b8bdbf0874125edd63a338dc954121f58b7e3681e2808574720c,318.5148944170214
2,336,0.16110343752162798,1.3333333333333333e-05,2e3ffee56c64620cb637ff5c3905c0db701b573e2ef7555b0f2cbe715a309ffd,312.86519241682254
3,504,0.11966065705443422,8.888888888888888e-06,42687facc011e30deaa286fe12cd45304e23b3672c78e2810de28b74087e66bd,310.430455124937
4,672,0.09448306386669476,4.444444444444444e-06,3dda9c6369327be974bfc9ba83ec0b54d00826e795bc0aeba3e3c234e2ace29a,302.24799083312973
