epoch,optimizer_steps,train_loss,learning_rate_end,batch_order_sha256,epoch_seconds
1,168,0.3502458694523999,1.7777777777777777e-05,52ecb7bade9fc43dd3f1ba34fac83fdb4d4f3a48614a535ec6ed17068788b1ab,317.32393191591837
2,336,0.1573739780246147,1.3333333333333333e-05,e225aafc49e6fc060b70a198c32ac1ace5592ea827246d09ed589a29d29e28ff,315.7016737498343
3,504,0.1157977583906835,8.888888888888888e-06,20d7bf11d8637d2f4a8c75e1746b8a09ae75cbbb40058b69e4c344d25af1017d,322.59223062498495
4,672,0.09227713042249282,4.444444444444444e-06,3d863cbc150547a8e9fdc4c2944a02273ec86d261e03c1e976711dabb32e8ec7,321.73808120796457
