policy,uncertainty_method,target_coverage,label,positive_support,retained_positive,positive_retention
m1_max_entropy,margin,0.8,anger,618,551,0.8915857605177994
m1_max_entropy,margin,0.8,sadness,161,106,0.6583850931677019
m1_max_entropy,margin,0.8,fear,74,27,0.36486486486486486
m1_max_entropy,margin,0.7,love,854,595,0.6967213114754098
m1_max_entropy,margin,0.7,joy,343,115,0.33527696793002915
m1_max_entropy,margin,0.7,surprise,31,12,0.3870967741935484
m1_max_entropy,margin,0.7,anger,618,517,0.8365695792880259
m1_max_entropy,margin,0.7,sadness,161,58,0.36024844720496896
m1_max_entropy,margin,0.7,fear,74,14,0.1891891891891892
m1_max_entropy,margin,0.6,love,854,472,0.5526932084309133
m1_max_entropy,margin,0.6,joy,343,59,0.17201166180758018
m1_max_entropy,margin,0.6,surprise,31,9,0.2903225806451613
m1_max_entropy,margin,0.6,anger,618,483,0.7815533980582524
m1_max_entropy,margin,0.6,sadness,161,35,0.21739130434782608
m1_max_entropy,margin,0.6,fear,74,10,0.13513513513513514
m1_threshold_proximity,mean_entropy,1.0,love,854,854,1.0
m1_threshold_proximity,mean_entropy,1.0,joy,343,343,1.0
m1_threshold_proximity,mean_entropy,1.0,surprise,31,31,1.0
m1_threshold_proximity,mean_entropy,1.0,anger,618,618,1.0
m1_threshold_proximity,mean_entropy,1.0,sadness,161,161,1.0
m1_threshold_proximity,mean_entropy,1.0,fear,74,74,1.0
m1_threshold_proximity,mean_entropy,0.95,love,854,827,0.968384074941452
m1_threshold_proximity,mean_entropy,0.95,joy,343,304,0.8862973760932945
m1_threshold_proximity,mean_entropy,0.95,surprise,31,22,0.7096774193548387
m1_threshold_proximity,mean_entropy,0.95,anger,618,601,0.9724919093851133
m1_threshold_proximity,mean_entropy,0.95,sadness,161,132,0.8198757763975155
m1_threshold_proximity,mean_entropy,0.95,fear,74,44,0.5945945945945946
m1_threshold_proximity,mean_entropy,0.9,love,854,783,0.9168618266978923
m1_threshold_proximity,mean_entropy,0.9,joy,343,258,0.7521865889212828
m1_threshold_proximity,mean_entropy,0.9,surprise,31,21,0.6774193548387096
m1_threshold_proximity,mean_entropy,0.9,anger,618,591,0.9563106796116505
m1_threshold_proximity,mean_entropy,0.9,sadness,161,94,0.5838509316770186
m1_threshold_proximity,mean_entropy,0.9,fear,74,36,0.4864864864864865
m1_threshold_proximity,mean_entropy,0.8,love,854,723,0.8466042154566745
m1_threshold_proximity,mean_entropy,0.8,joy,343,119,0.3469387755102041
m1_threshold_proximity,mean_entropy,0.8,surprise,31,17,0.5483870967741935
m1_threshold_proximity,mean_entropy,0.8,anger,618,570,0.9223300970873787
m1_threshold_proximity,mean_entropy,0.8,sadness,161,54,0.33540372670807456
m1_threshold_proximity,mean_entropy,0.8,fear,74,23,0.3108108108108108
m1_threshold_proximity,mean_entropy,0.7,love,854,651,0.7622950819672131
m1_threshold_proximity,mean_entropy,0.7,joy,343,90,0.26239067055393583
m1_threshold_proximity,mean_entropy,0.7,surprise,31,14,0.45161290322580644
m1_threshold_proximity,mean_entropy,0.7,anger,618,479,0.7750809061488673
m1_threshold_proximity,mean_entropy,0.7,sadness,161,36,0.2236024844720497
m1_threshold_proximity,mean_entropy,0.7,fear,74,11,0.14864864864864866
m1_threshold_proximity,mean_entropy,0.6,love,854,608,0.711943793911007
m1_threshold_proximity,mean_entropy,0.6,joy,343,75,0.21865889212827988
m1_threshold_proximity,mean_entropy,0.6,surprise,31,11,0.3548387096774194
m1_threshold_proximity,mean_entropy,0.6,anger,618,271,0.43851132686084143
m1_threshold_proximity,mean_entropy,0.6,sadness,161,26,0.16149068322981366
m1_threshold_proximity,mean_entropy,0.6,fear,74,9,0.12162162162162163
m1_threshold_proximity,max_entropy,1.0,love,854,854,1.0
m1_threshold_proximity,max_entropy,1.0,joy,343,343,1.0
m1_threshold_proximity,max_entropy,1.0,surprise,31,31,1.0
m1_threshold_proximity,max_entropy,1.0,anger,618,618,1.0
m1_threshold_proximity,max_entropy,1.0,sadness,161,161,1.0
m1_threshold_proximity,max_entropy,1.0,fear,74,74,1.0
m1_threshold_proximity,max_entropy,0.95,love,854,812,0.9508196721311475
m1_threshold_proximity,max_entropy,0.95,joy,343,294,0.8571428571428571
m1_threshold_proximity,max_entropy,0.95,surprise,31,26,0.8387096774193549
m1_threshold_proximity,max_entropy,0.95,anger,618,599,0.9692556634304207
m1_threshold_proximity,max_entropy,0.95,sadness,161,146,0.906832298136646
m1_threshold_proximity,max_entropy,0.95,fear,74,66,0.8918918918918919
m1_threshold_proximity,max_entropy,0.9,love,854,775,0.9074941451990632
m1_threshold_proximity,max_entropy,0.9,joy,343,254,0.7405247813411079
m1_threshold_proximity,max_entropy,0.9,surprise,31,25,0.8064516129032258
m1_threshold_proximity,max_entropy,0.9,anger,618,578,0.9352750809061489
m1_threshold_proximity,max_entropy,0.9,sadness,161,132,0.8198757763975155
m1_threshold_proximity,max_entropy,0.9,fear,74,51,0.6891891891891891
m1_threshold_proximity,max_entropy,0.8,love,854,713,0.8348946135831382
m1_threshold_proximity,max_entropy,0.8,joy,343,177,0.5160349854227405
m1_threshold_proximity,max_entropy,0.8,surprise,31,18,0.5806451612903226
m1_threshold_proximity,max_entropy,0.8,anger,618,529,0.8559870550161812
m1_threshold_proximity,max_entropy,0.8,sadness,161,104,0.6459627329192547
m1_threshold_proximity,max_entropy,0.8,fear,74,26,0.35135135135135137
m1_threshold_proximity,max_entropy,0.7,love,854,643,0.752927400468384
m1_threshold_proximity,max_entropy,0.7,joy,343,108,0.31486880466472306
m1_threshold_proximity,max_entropy,0.7,surprise,31,12,0.3870967741935484
m1_threshold_proximity,max_entropy,0.7,anger,618,475,0.7686084142394822
m1_threshold_proximity,max_entropy,0.7,sadness,161,67,0.4161490683229814
m1_threshold_proximity,max_entropy,0.7,fear,74,14,0.1891891891891892
m1_threshold_proximity,max_entropy,0.6,love,854,565,0.6615925058548009
m1_threshold_proximity,max_entropy,0.6,joy,343,60,0.1749271137026239
m1_threshold_proximity,max_entropy,0.6,surprise,31,10,0.3225806451612903
m1_threshold_proximity,max_entropy,0.6,anger,618,396,0.6407766990291263
m1_threshold_proximity,max_entropy,0.6,sadness,161,27,0.16770186335403728
m1_threshold_proximity,max_entropy,0.6,fear,74,9,0.12162162162162163
m1_threshold_proximity,margin,1.0,love,854,854,1.0
m1_threshold_proximity,margin,1.0,joy,343,343,1.0
m1_threshold_proximity,margin,1.0,surprise,31,31,1.0
m1_threshold_proximity,margin,1.0,anger,618,618,1.0
m1_threshold_proximity,margin,1.0,sadness,161,161,1.0
m1_threshold_proximity,margin,1.0,fear,74,74,1.0
m1_threshold_proximity,margin,0.95,love,854,802,0.9391100702576113
m1_threshold_proximity,margin,0.95,joy,343,296,0.8629737609329446
m1_threshold_proximity,margin,0.95,surprise,31,26,0.8387096774193549
m1_threshold_proximity,margin,0.95,anger,618,608,0.9838187702265372
m1_threshold_proximity,margin,0.95,sadness,161,153,0.9503105590062112
m1_threshold_proximity,margin,0.95,fear,74,63,0.8513513513513513
m1_threshold_proximity,margin,0.9,love,854,758,0.8875878220140515
m1_threshold_proximity,margin,0.9,joy,343,258,0.7521865889212828
