policy,target_call_rate,actual_call_rate,routed_rows,qwen_calls_per_1000,macro_f1,five_label_macro_f1,micro_f1,hamming_loss,subset_accuracy,f1_love,f1_joy,f1_surprise,f1_anger,f1_sadness,f1_fear
m1_only,0.0,0.0,0,0.0,0.5989189141010188,0.7187026969212227,0.7620809248554913,0.051041666666666666,0.7616071428571428,0.8417582417582418,0.590778097982709,0.0,0.7864150943396226,0.6833855799373041,0.6911764705882353
m3_only,1.0,1.0,3360,1000.0,0.6378428153523743,0.7105094176385355,0.7654549664274138,0.050248015873015875,0.7547619047619047,0.837560712358338,0.6177370030581039,0.2745098039215686,0.7996965098634295,0.6163934426229509,0.681159420289855
m1_max_entropy,0.0,0.0,0,0.0,0.5989189141010188,0.7187026969212227,0.7620809248554913,0.051041666666666666,0.7616071428571428,0.8417582417582418,0.590778097982709,0.0,0.7864150943396226,0.6833855799373041,0.6911764705882353
m1_max_entropy,0.05,0.04970238095238095,167,49.70238095238095,0.6086885024144706,0.7183049907761526,0.7656765676567657,0.049305555555555554,0.768452380952381,0.8423373759647188,0.5981873111782477,0.06060606060606061,0.7944785276073619,0.6488294314381271,0.7076923076923075
m1_max_entropy,0.1,0.1,336,100.0,0.6268904317943836,0.717982803867546,0.7706333973128598,0.04742063492063492,0.7767857142857143,0.8427464008859358,0.5990491283676703,0.1714285714285714,0.8037529319781079,0.6573426573426573,0.6870229007633588
m1_max_entropy,0.15,0.14970238095238095,503,149.70238095238093,0.6214043774853996,0.713252820550047,0.768453955277711,0.04776785714285714,0.7752976190476191,0.8402432283029297,0.5964343598055105,0.16216216216216214,0.8040593286494926,0.6433566433566433,0.682170542635659
m1_max_entropy,0.2,0.20029761904761906,673,200.29761904761907,0.6395058333573802,0.7174070000288563,0.7717703349282296,0.04732142857142857,0.7770833333333333,0.8433734939759036,0.5980392156862746,0.25,0.8052959501557632,0.6433566433566433,0.696969696969697
m1_max_entropy,0.3,0.30089285714285713,1011,300.8928571428571,0.6312955097732859,0.7131101672834985,0.7694859038142619,0.04826388888888889,0.7693452380952381,0.8429035752979416,0.5964343598055105,0.2222222222222222,0.8055987558320373,0.6344827586206896,0.6861313868613138
m1_max_entropy,0.5,0.5035714285714286,1692,503.57142857142856,0.6352385907797531,0.7112224791484697,0.768546688509244,0.04905753968253968,0.762797619047619,0.8412526997840173,0.6053042121684866,0.25531914893617014,0.8067744418783679,0.6216216216216216,0.681159420289855
m1_max_entropy,1.0,1.0,3360,1000.0,0.6378428153523743,0.7105094176385355,0.7654549664274138,0.050248015873015875,0.7547619047619047,0.837560712358338,0.6177370030581039,0.2745098039215686,0.7996965098634295,0.6163934426229509,0.681159420289855
m1_threshold_proximity,0.0,0.0,0,0.0,0.5989189141010188,0.7187026969212227,0.7620809248554913,0.051041666666666666,0.7616071428571428,0.8417582417582418,0.590778097982709,0.0,0.7864150943396226,0.6833855799373041,0.6911764705882353
m1_threshold_proximity,0.05,0.05,168,50.0,0.6038923250235094,0.7246707900282112,0.7658684026970473,0.04995039682539683,0.7675595238095239,0.8440771349862258,0.5961820851688694,0.0,0.7903469079939669,0.6774193548387096,0.7153284671532847
m1_threshold_proximity,0.1,0.09732142857142857,327,97.32142857142857,0.6115335031763564,0.7217189916904154,0.7677989762680315,0.04950396825396825,0.768154761904762,0.845858475041141,0.5892857142857143,0.06060606060606061,0.7987897125567321,0.6645161290322581,0.7101449275362318
m1_threshold_proximity,0.15,0.14166666666666666,476,141.66666666666666,0.6251912695055385,0.7177970909742137,0.7678737233054781,0.0496031746031746,0.7651785714285714,0.8459444746869896,0.5937031484257872,0.16216216216216214,0.799090219863533,0.6495176848874598,0.7007299270072993
m1_threshold_proximity,0.2,0.1842261904761905,619,184.22619047619048,0.6227558304615636,0.7157280491854552,0.7691234596605441,0.04925595238095238,0.7651785714285714,0.8456521739130435,0.6009104704097116,0.15789473684210525,0.8012093726379441,0.6447368421052632,0.6861313868613138
m1_threshold_proximity,0.3,0.26458333333333334,889,264.5833333333333,0.6290350024818331,0.7148420029781997,0.7698706099815158,0.0494047619047619,0.7616071428571428,0.8463611859838275,0.6012084592145016,0.19999999999999998,0.8029962546816478,0.632996632996633,0.6906474820143885
m1_threshold_proximity,0.5,0.42797619047619045,1438,427.9761904761905,0.6285495151932796,0.7117062267425738,0.7670349907918969,0.0501984126984127,0.7550595238095238,0.8405172413793104,0.6184012066365007,0.2127659574468085,0.799405646359584,0.6190476190476191,0.681159420289855
m1_threshold_proximity,1.0,1.0,3360,1000.0,0.6378428153523743,0.7105094176385355,0.7654549664274138,0.050248015873015875,0.7547619047619047,0.837560712358338,0.6177370030581039,0.2745098039215686,0.7996965098634295,0.6163934426229509,0.681159420289855
logistic_router,0.0,0.0,0,0.0,0.5989189141010188,0.7187026969212227,0.7620809248554913,0.051041666666666666,0.7616071428571428,0.8417582417582418,0.590778097982709,0.0,0.7864150943396226,0.6833855799373041,0.6911764705882353
logistic_router,0.05,0.04672619047619048,157,46.726190476190474,0.6053368284864374,0.7142829820625128,0.7650375939849624,0.0496031746031746,0.7669642857142858,0.8434399117971334,0.5923664122137404,0.06060606060606061,0.7926829268292683,0.6666666666666667,0.6762589928057553
logistic_router,0.1,0.09732142857142857,327,97.32142857142857,0.6297687540260672,0.7223891714979473,0.7718550106609807,0.04776785714285714,0.7735119047619048,0.8444687842278203,0.604133545310016,0.16666666666666666,0.7987663839629915,0.6734006734006734,0.6911764705882353
logistic_router,0.15,0.14910714285714285,501,149.10714285714286,0.6390872920933557,0.7247994873541319,0.774502755811167,0.0466765873015873,0.7797619047619048,0.8430296377607024,0.6029173419773095,0.2105263157894737,0.807541241162608,0.6735395189003436,0.696969696969697
logistic_router,0.2,0.2011904761904762,676,201.1904761904762,0.6346037478104777,0.7215244973725732,0.7725752508361204,0.04722222222222222,0.7752976190476191,0.843886462882096,0.5983739837398373,0.19999999999999998,0.8047058823529412,0.6643598615916955,0.6962962962962963
