policy,uncertainty_method,target_coverage,actual_coverage,accepted_rows,hamming_risk,subset_error,micro_f1,macro_f1,five_label_macro_f1
m1_max_entropy,mean_entropy,1.0,1.0,3360,0.04742063492063492,0.2232142857142857,0.7706333973128598,0.6268904317943836,0.717982803867546
m1_max_entropy,mean_entropy,0.95,0.9494047619047619,3190,0.04346917450365726,0.2068965517241379,0.7828810020876827,0.5605148211496008,0.672617785379521
m1_max_entropy,mean_entropy,0.9,0.9002976190476191,3025,0.04027548209366391,0.19173553719008263,0.7919157415314546,0.5400569502093765,0.6480683402512518
m1_max_entropy,mean_entropy,0.8,0.8005952380952381,2690,0.03358116480793061,0.16208178438661713,0.8158967391304347,0.40769028829966336,0.489228345959596
m1_max_entropy,mean_entropy,0.7,0.6994047619047619,2350,0.026382978723404255,0.12425531914893617,0.851792828685259,0.3732613126951991,0.44791357523423886
m1_max_entropy,mean_entropy,0.6,0.5997023809523809,2015,0.022911497105045493,0.1086848635235732,0.8574369531652084,0.3616089383246246,0.4339307259895495
m1_max_entropy,max_entropy,1.0,1.0,3360,0.04742063492063492,0.2232142857142857,0.7706333973128598,0.6268904317943836,0.717982803867546
m1_max_entropy,max_entropy,0.95,0.9494047619047619,3190,0.042998955067920584,0.2025078369905956,0.7837056504599211,0.6080935477080597,0.7159191538013957
m1_max_entropy,max_entropy,0.9,0.9002976190476191,3025,0.03917355371900826,0.183801652892562,0.7990957897711218,0.6035054470685746,0.7082065364822895
m1_max_entropy,max_entropy,0.8,0.8005952380952381,2690,0.032156133828996285,0.14944237918215608,0.830558276199804,0.5689252778855604,0.6827103334626724
m1_max_entropy,max_entropy,0.7,0.6994047619047619,2350,0.026099290780141844,0.11914893617021272,0.857915057915058,0.47033769337705994,0.564405232052472
m1_max_entropy,max_entropy,0.6,0.5997023809523809,2015,0.02009925558312655,0.09429280397022333,0.8826653790439402,0.33186851438736836,0.398242217264842
m1_max_entropy,margin,1.0,1.0,3360,0.04742063492063492,0.2232142857142857,0.7706333973128598,0.6268904317943836,0.717982803867546
m1_max_entropy,margin,0.95,0.9494047619047619,3190,0.04346917450365726,0.20438871473354236,0.7867760123013839,0.6339474344211672,0.7357369213054007
m1_max_entropy,margin,0.9,0.9002976190476191,3025,0.03950413223140496,0.18578512396694213,0.8042588042588042,0.6224200160219412,0.7469040192263294
m1_max_entropy,margin,0.8,0.8005952380952381,2690,0.03351920693928129,0.15836431226765801,0.8289598482453368,0.6145303837754168,0.7374364605305002
