model,view,seed,macro_f1,accuracy,macro_precision,macro_recall,weighted_f1
M0,target_only,deterministic,0.11691327715480061,0.6926100628930818,0.09894429469901168,0.14285714285714285,0.5668271857025593
M1,target_only,deterministic,0.3382670361475599,0.6509433962264151,0.36358356585647017,0.3207584029748917,0.6363526285135894
M2,target_only,42,0.6098336406463812,0.7963836477987422,0.6356314377322224,0.5987769513650402,0.788602397154357
M2,target_only,43,0.5870270105506048,0.7885220125786163,0.6085010160220247,0.5762463830656909,0.781493331482195
M2,target_only,44,0.5879147130672928,0.7924528301886793,0.6036038764912293,0.5783692635855534,0.7857421430368169
M1,previous_context,deterministic,0.2715042152790987,0.44339622641509435,0.27417572218360625,0.30969699618157864,0.4964078836293202
M2,previous_context,42,0.5806955645649697,0.7885220125786163,0.6044175467083154,0.5644647110364338,0.7812848002803047
M2,previous_context,43,0.5981616085801603,0.7861635220125787,0.6079887842117631,0.5974038424337581,0.7830388863414971
M2,previous_context,44,0.6037998960213916,0.7955974842767296,0.6212649755243717,0.5910669622955828,0.7902904826170208
