policy,uncertainty_method,target_coverage,label,positive_support,retained_positive,positive_retention
m1_threshold_proximity,max_entropy,0.8,anger,618,529,0.8559870550161812
m1_threshold_proximity,max_entropy,0.8,sadness,161,108,0.6708074534161491
m1_threshold_proximity,max_entropy,0.8,fear,74,32,0.43243243243243246
m1_threshold_proximity,max_entropy,0.7,love,854,621,0.7271662763466042
m1_threshold_proximity,max_entropy,0.7,joy,343,105,0.30612244897959184
m1_threshold_proximity,max_entropy,0.7,surprise,31,15,0.4838709677419355
m1_threshold_proximity,max_entropy,0.7,anger,618,463,0.7491909385113269
m1_threshold_proximity,max_entropy,0.7,sadness,161,57,0.35403726708074534
m1_threshold_proximity,max_entropy,0.7,fear,74,21,0.28378378378378377
m1_threshold_proximity,max_entropy,0.6,love,854,505,0.5913348946135831
m1_threshold_proximity,max_entropy,0.6,joy,343,50,0.1457725947521866
m1_threshold_proximity,max_entropy,0.6,surprise,31,12,0.3870967741935484
m1_threshold_proximity,max_entropy,0.6,anger,618,412,0.6666666666666666
m1_threshold_proximity,max_entropy,0.6,sadness,161,28,0.17391304347826086
m1_threshold_proximity,max_entropy,0.6,fear,74,15,0.20270270270270271
m1_threshold_proximity,margin,1.0,love,854,854,1.0
m1_threshold_proximity,margin,1.0,joy,343,343,1.0
m1_threshold_proximity,margin,1.0,surprise,31,31,1.0
m1_threshold_proximity,margin,1.0,anger,618,618,1.0
m1_threshold_proximity,margin,1.0,sadness,161,161,1.0
m1_threshold_proximity,margin,1.0,fear,74,74,1.0
m1_threshold_proximity,margin,0.95,love,854,817,0.9566744730679156
m1_threshold_proximity,margin,0.95,joy,343,308,0.8979591836734694
m1_threshold_proximity,margin,0.95,surprise,31,30,0.967741935483871
m1_threshold_proximity,margin,0.95,anger,618,599,0.9692556634304207
m1_threshold_proximity,margin,0.95,sadness,161,138,0.8571428571428571
m1_threshold_proximity,margin,0.95,fear,74,67,0.9054054054054054
m1_threshold_proximity,margin,0.9,love,854,776,0.9086651053864169
m1_threshold_proximity,margin,0.9,joy,343,267,0.7784256559766763
m1_threshold_proximity,margin,0.9,surprise,31,28,0.9032258064516129
m1_threshold_proximity,margin,0.9,anger,618,578,0.9352750809061489
m1_threshold_proximity,margin,0.9,sadness,161,125,0.7763975155279503
m1_threshold_proximity,margin,0.9,fear,74,55,0.7432432432432432
