policy,target_call_rate,matched_policy_actual_call_rate,random_actual_call_rate_mean,random_actual_call_rate_min,random_actual_call_rate_max,macro_f1_mean,macro_f1_p05,macro_f1_p50,macro_f1_p95,five_label_macro_f1_mean,five_label_macro_f1_p05,five_label_macro_f1_p50,five_label_macro_f1_p95,hamming_loss_mean,hamming_loss_p05,hamming_loss_p50,hamming_loss_p95
m1_max_entropy,0.0,0.0,0.0,0.0,0.0,0.5810240587294888,0.5810240587294887,0.5810240587294887,0.5810240587294887,0.6972288704753866,0.6972288704753865,0.6972288704753865,0.6972288704753865,0.050694444444444466,0.050694444444444445,0.050694444444444445,0.050694444444444445
m1_max_entropy,0.05,0.050595238095238096,0.0505952380952381,0.050595238095238096,0.050595238095238096,0.5822908613885788,0.5776526079631753,0.5812267425134606,0.5909533615687105,0.6971467609390218,0.6931694724125661,0.6966272016908619,0.7022862461619819,0.05117906746031746,0.05064236111111111,0.0511656746031746,0.05173611111111111
m1_max_entropy,0.1,0.09970238095238096,0.09970238095238097,0.09970238095238096,0.09970238095238096,0.5834102158385835,0.5772505751940865,0.581645463360682,0.5954031619281999,0.6976299149777797,0.6927006902329039,0.6974402917949246,0.7034528226176887,0.05159176587301588,0.05089285714285714,0.051587301587301584,0.05223462301587302
m1_max_entropy,0.15,0.1523809523809524,0.15238095238095234,0.1523809523809524,0.1523809523809524,0.5855184035551146,0.5765184456368062,0.5829343456999453,0.5987930815502622,0.6983293035174744,0.691542690921134,0.6979753701786653,0.7060275912066725,0.052106150793650795,0.05128720238095238,0.05213293650793651,0.0529265873015873
m1_max_entropy,0.2,0.1988095238095238,0.19880952380952377,0.1988095238095238,0.1988095238095238,0.5876100625739125,0.5750468347203082,0.5871653506939762,0.5998684302191634,0.6985223602936863,0.6886953511530698,0.6988563803080865,0.7070576432186676,0.052469742063492066,0.05153521825396825,0.052455357142857144,0.05352926587301587
m1_max_entropy,0.3,0.29791666666666666,0.2979166666666666,0.29791666666666666,0.29791666666666666,0.5883808387581163,0.5741692463732887,0.5886595611397918,0.6031328653134006,0.6978169292667211,0.6888265958834788,0.6981589983494892,0.7085019505516359,0.053555059523809526,0.05243055555555556,0.053521825396825394,0.054811507936507936
m1_max_entropy,0.5,0.5032738095238095,0.5032738095238097,0.5032738095238095,0.5032738095238095,0.5919394438901296,0.5772920600455164,0.5917621516686009,0.6051440468213257,0.6982001847410076,0.687857723527898,0.6991064464069736,0.7077554766921261,0.05543154761904761,0.054012896825396825,0.05550595238095238,0.05655009920634921
m1_max_entropy,1.0,1.0,1.0,1.0,1.0,0.5997288682183076,0.5997288682183076,0.5997288682183076,0.5997288682183076,0.6980530202403479,0.6980530202403475,0.6980530202403475,0.6980530202403475,0.06001984126984126,0.06001984126984127,0.06001984126984127,0.06001984126984127
m1_threshold_proximity,0.0,0.0,0.0,0.0,0.0,0.5810240587294888,0.5810240587294887,0.5810240587294887,0.5810240587294887,0.6972288704753866,0.6972288704753865,0.6972288704753865,0.6972288704753865,0.050694444444444466,0.050694444444444445,0.050694444444444445,0.050694444444444445
m1_threshold_proximity,0.05,0.05238095238095238,0.052380952380952375,0.05238095238095238,0.05238095238095238,0.5849257502391128,0.5778692493585317,0.5829382099360458,0.5952262035989048,0.697952566953602,0.6932149904942073,0.6976186618656999,0.7035455482361264,0.05103819444444444,0.05044642857142857,0.05109126984126984,0.051488095238095236
