epoch,optimizer_steps,train_loss,learning_rate_end,batch_order_sha256,epoch_seconds
1,168,0.3486312071216248,1.7777777777777777e-05,2aec5d1a23e5a7f46be79dbe2cba220434b6840c5572f41eb1b4ad0511fc125f,339.1369165419601
2,336,0.16066734938483154,1.3333333333333333e-05,891addd15e2beae5e3b7f5ba23f954d2b679eae025b79456380d539cd89ec7b7,335.4645678328816
3,504,0.11876342093039836,8.888888888888888e-06,74608762ab6d880d0f5895b553ad732960a25735c56477915ef91097542bce3c,342.98529670899734
4,672,0.09483525138126597,4.444444444444444e-06,3d9d73ec1d5e033a1beae62da5169ba0b0c18e34e4771482eceac0a68330100c,336.0001254170202
